a	ə
hodder	h ɑ d ɝ
hodding	h ɑ d ɪ ŋ
hoddur	h ɑ d ɝ
hodel	h oʊ d ə l
hodes	h oʊ d z
hodgdon	h ɑ dʒ d ə n
hodge	h ɑ dʒ
hodge's	h ɑ dʒ ɪ z
hodgen	h ɑ dʒ ə n
hodgens	h ɑ dʒ ə n z
hodgepodge	h ɑ dʒ p ɑ dʒ
hodges	h ɑ dʒ ɪ z
hodgin	h ɑ dʒ ɪ n
hodgins	h ɑ dʒ ɪ n z
hodgkin	h ɑ dʒ k ɪ n
hodgkin's	h ɑ dʒ k ɪ n z
hodgkins	h ɑ dʒ k ɪ n z
hodgkinson	h ɑ dʒ k ɪ n s ə n
hodgkiss	h ɑ dʒ k ɪ s
hodgman	h ɑ dʒ m ə n
hodgman's	h ɑ dʒ m ə n z
hodgson	h ɑ dʒ s ə n
hodkinson	h ɑ d k ɪ n s ə n
hodnett	h ɑ d n ɪ t
hodo	h oʊ d oʊ
hodsdon	h ɑ d z d ə n
hodson	h ɑ d s ə n
hoe	h oʊ
hoechst	h oʊ k s t
hoechst's	h oʊ k s t s
hoeck	h oʊ k
hoecker	h oʊ k ɝ
hoedown	h oʊ d aʊ n
hoefer	h oʊ f ɝ
hoeffner	h oʊ f n ɝ
hoefle	h oʊ f ə l
hoefler	h oʊ f ə l ɝ
hoeflich	h oʊ f l ɪ k
hoefling	h oʊ f ə l ɪ ŋ
hoefs	h oʊ f s
hoeft	h oʊ f t
hoeg	h oʊ ɡ
hoeger	h oʊ ɡ ɝ
hoehn	h oʊ n
hoehne	h oʊ n
hoeing	h oʊ ɪ ŋ
hoek	h oʊ k
hoeksema	h oʊ k s ɪ m ə
hoekstra	h oʊ k s t ɹ ə
hoel	h oʊ l
hoell	h oʊ l
hoelle	h oʊ l
hoelscher	h oʊ l ʃ ɝ
hoelter	h oʊ l t ɝ
hoelterhoff	h oʊ l t ɝ h ɔ f
hoelterhoff's	h oʊ l t ɝ h ɔ f s
hoelting	h oʊ l t ɪ ŋ
hoelzel	h oʊ l z ə l
hoelzer	h oʊ l z ɝ
hoen	h oʊ n
hoene	h ɑ i n
hoener	h oʊ n ɝ
hoenig	h oʊ n ɪ ɡ
hoeper	h oʊ p ɝ
hoepfner	h oʊ p f n ɝ
hoepner	h oʊ p n ɝ
hoeppner	h oʊ p n ɝ
hoerig	h ɔ ɹ ɪ ɡ
hoerner	h ɔ ɹ n ɝ
hoerr	h ɔ ɹ
hoes	h oʊ z
hoesch	h oʊ ʃ
hoeschen	h oʊ ʃ ə n
hoesly	h oʊ s l i
hoeveler	h oʊ v l ɝ
hoevet	h oʊ v ɛ t
hoevet's	h oʊ v ɛ t s
hoey	h oʊ i
hof	h ɑ f
hofacker	h ɑ f ə k ɝ
hofbauer	h ɑ f b aʊ ɝ
hofer	h oʊ f ɝ
hoff	h ɔ f
hoffa	h ɔ f ə
hoffa's	h ɔ f ə z
hoffacker	h ɔ f ə k ɝ
hoffart	h ɔ f ɑ ɹ t
hoffarth	h ɔ f ɑ ɹ θ
hoffecker	h ɔ f ɪ k ɝ
hoffenberg	h ɔ f ə n b ɝ ɡ
hoffenberg's	h ɑ f ə n b ɝ ɡ z
hoffer	h ɑ f ɝ
hofferber	h ɔ f ɝ b ɝ
hoffert	h ɔ f ɝ t
hoffitz	h ɑ f ɪ t s
hoffler	h ɔ f ə l ɝ
hoffman	h ɔ f m ə n
hoffman's	h ɔ f m ə n z
hoffmann	h ɔ f m ə n
hoffmaster	h ɔ f m æ s t ɝ
hoffmeier	h ɔ f m aɪ ɝ
hoffmeister	h ɔ f m aɪ s t ɝ
hoffmeyer	h ɔ f m aɪ ɝ
hoffner	h ɔ f n ɝ
hoffpauir	h ɔ f p aʊ ɝ
hofi	h oʊ f i
hofland	h ɑ f l ə n d
hofler	h ɑ f l ɝ
hofman	h ɑ f m ə n
hofmann	h ɑ f m ə n
hofmeister	h ɑ f m aɪ s t ɝ
hofrichter	h ɑ f ɹ ɪ k t ɝ
hofstad	h ɑ f s t æ d
hofstetter	h ɑ f s t ɛ t ɝ
hofstra	h ɑ f s t ɹ ə
hog	h ɑ ɡ
hogan	h oʊ ɡ ɑ n
hogan's	h oʊ ɡ ɑ n z
hogans	h oʊ ɡ ɑ n z
hoganson	h ɑ ɡ ə n s ə n
hogarth	h oʊ ɡ ɑ ɹ θ
hogarty	h ɑ ɡ ɑ ɹ t i
hogberg	h ɑ ɡ b ɝ ɡ
hoge	h oʊ dʒ
hogeland	h ɑ ɡ ɪ l ə n d
hogen	h ɑ ɡ ə n
hogenson	h ɑ dʒ ɪ n s ə n
hoger	h oʊ ɡ ɝ
hogg	h ɑ ɡ
hoggan	h ɑ ɡ ə n
hoggard	h ɑ ɡ ɝ d
hoggart	h ɑ ɡ ɝ t
hoggatt	h ɑ ɡ ə t
hogge	h ɑ ɡ
hogging	h ɔ ɡ ɪ ŋ
hogland	h ɑ ɡ l ə n d
hogle	h oʊ ɡ ə l
hoglund	h ɔ ɡ l ə n d
hoglund's	h ɔ ɡ l ə n d z
hoglunds	h ɔ ɡ l ə n d z
hognose	h ɑ ɡ n oʊ z
hogrefe	h ɑ ɡ ɹ ɪ f
hogs	h ɑ ɡ z
hogsed	h oʊ ɡ s t
hogsett	h ɑ ɡ s ɪ t
hogston	h ɑ ɡ s t ə n
hogue	h oʊ ɡ
hogwarts	h ɑ ɡ w ɔ ɹ t s
hogwash	h ɑ ɡ w ɑ ʃ
hogwood	h ɔ ɡ w ʊ d
hoh	h oʊ
hoheisel	h oʊ aɪ s ə l
hohenberger	h oʊ ə n b ɝ ɡ ɝ
hohensee	h ɑ h ɪ n s i
hohenstein	h oʊ ə n s t aɪ n
hohl	h oʊ l
hohler	h oʊ l ɝ
hohlt	h oʊ l t
hohman	h oʊ m ə n
hohmann	h oʊ m ə n
hohn	h ɑ n
hohner	h oʊ n ɝ
hohnstein	h oʊ n s t aɪ n
hoho	h oʊ h oʊ
hohorst	h oʊ h ɔ ɹ s t
hohos	h oʊ h oʊ z
hohum	h oʊ h ʌ m
hoi	h ɔɪ
hoiland	h ɔɪ l æ n d
hoilman	h ɔɪ l m ə n
hoisington	h ɔɪ z ɪ ŋ t ə n
hoist	h ɔɪ s t
hoisted	h ɔɪ s t ə d
hoisting	h ɔɪ s t ɪ ŋ
hoists	h ɔɪ s t s
hoit	h ɔɪ t
hoity	h ɔɪ t i
hoium	h ɑ i ə m
hojnacki	h ə j n ɑ t s k i
hok	h ɔ k
hokanson	h ɑ k ə n s ə n
hoke	h oʊ k
hokenson	h ɑ k ɪ n s ə n
hokey	h oʊ k i
hokkaido	h oʊ k aɪ d oʊ
hokum	h oʊ k ə m
hokuriku	h ɑ k ɝ i k u
hola	h oʊ l ə
holaday	h oʊ l ə d eɪ
holahan	h ɑ l ə h æ n
holan	h oʊ l ə n
holaway	h oʊ l ə w eɪ
holbein	h oʊ l b aɪ n
holben	h oʊ l b ə n
holberg	h oʊ l b ɝ ɡ
holbert	h oʊ l b ɝ t
holbrook	h oʊ l b ɹ ʊ k
holbrooke	h oʊ l b ɹ ʊ k
holbrooke's	h oʊ l b ɹ ʊ k s
holbrooks	h oʊ l b ɹ ʊ k s
holck	h oʊ l k
holcomb	h oʊ l k ə m
holcombe	h oʊ l k ə m
hold	h oʊ l d
holda	h oʊ l d ə
holdaway	h oʊ l d ə w eɪ
holde	h oʊ l d
holdeman	h oʊ l d m ə n
holden	h oʊ l d ə n
holden's	h oʊ l d ə n z
holder	h oʊ l d ɝ
holder's	h oʊ l d ɝ z
holderbank	h oʊ l d ɝ b æ ŋ k
holderbaum	h oʊ l d ɝ b aʊ m
holderby	h oʊ l d ɝ b i
holderfield	h oʊ l d ɝ f i l d
holderman	h oʊ l d ɝ m ə n
holderness	h oʊ l d ɝ n ə s
holders	h oʊ l d ɝ z
holders'	h oʊ l d ɝ z
holdfast	h oʊ l f æ s t
holding	h oʊ l d ɪ ŋ
holding's	h oʊ l d ɪ ŋ z
holdings	h oʊ l d ɪ ŋ z
holdings'	h oʊ l d ɪ ŋ z
holdman	h oʊ l d m ə n
holdorf	h oʊ l d ɔ ɹ f
holdout	h oʊ l d aʊ t
holdouts	h oʊ l d aʊ t s
holdover	h oʊ l d oʊ v ɝ
holdovers	h oʊ l d oʊ v ɝ z
holdren	h oʊ l d ɝ ə n
holdridge	h oʊ l d ɹ ɪ dʒ
holds	h oʊ l d z
holdsworth	h oʊ l d z w ɝ θ
holdup	h oʊ l d ʌ p
holdups	h oʊ l d ʌ p s
hole	h oʊ l
holecek	h ɑ l ɪ tʃ ɛ k
holed	h oʊ l d
holeman	h oʊ l m ə n
holen	h oʊ l ə n
holes	h oʊ l z
holewinski	h ə l u ɪ n s k i
holford	h oʊ l f ɝ d
holgate	h oʊ l ɡ eɪ t
holgerson	h oʊ l ɡ ɝ s ə n
holguin	h oʊ l ɡ ɪ n
holian	h oʊ l i ə n
holick	h ɑ l ɪ k
holiday	h ɑ l ə d eɪ
holiday's	h ɑ l ə d eɪ z
holidays	h ɑ l ə d eɪ z
holidaysburg	h ɑ l ə d eɪ z b ɝ ɡ
holien	h oʊ l i ə n
holier	h oʊ l i ɝ
holiest	h oʊ l i ɪ s t
holifield	h ɑ l ɪ f i l d
holihan	h ɑ l ɪ h æ n
holik	h oʊ l ɪ k
holiman	h ɑ l ɪ m ə n
holiness	h oʊ l i n ə s
holing	h oʊ l ɪ ŋ
holistic	h oʊ l ɪ s t ɪ k
holl	h ɑ l
hollabaugh	h ɑ l ə b ɔ
holladay	h ɑ l ə d eɪ
hollan	h ɑ l ə n
holland	h ɑ l ə n d
holland's	h ɑ l ə n d z
hollander	h ɑ l ə n d ɝ
hollanders	h ɑ l ə n d ɝ z
hollands	h ɑ l ə n d z
hollandsworth	h ɑ l ə n d z w ɝ θ
hollar	h ɑ l ɝ
hollars	h ɑ l ɝ z
hollatz	h ɑ l ə t s
hollaway	h ɑ l ə w eɪ
holle	h ɑ l
holleman	h oʊ l m ə n
hollen	h ɑ l ə n
hollenbach	h ɑ l ɪ n b ɑ k
hollenback	h ɑ l ə n b æ k
hollenbaugh	h ə l ɛ n b ɔ
hollenbeck	h ɑ l ə n b ɛ k
hollenberg	h ɑ l ə n b ɝ ɡ
hollender	h ɑ l ɛ n d ɝ
hollenkamp	h ɑ l ɪ n k æ m p
holler	h ɑ l ɝ
holleran	h ɑ l ɝ ə n
hollerbach	h ɑ l ɝ b ɑ k
hollered	h ɑ l ɝ d
hollering	h ɑ l ɝ ɪ ŋ
hollern	h ɑ l ɝ n
hollers	h ɑ l ɝ z
hollett	h ɑ l ɪ t
holley	h ɑ l i
hollibaugh	h ɑ l ɪ b ɔ
hollick	h ɑ l ɪ k
holliday	h ɑ l ɪ d eɪ
holliday's	h ɑ l ɪ d eɪ z
hollie	h ɑ l i
hollier	h ɔ l i ɝ
hollies	h ɑ l i z
hollifield	h ɑ l ɪ f i l d
holliman	h ɑ l ɪ m ə n
holliman's	h ɑ l ɪ m ə n z
hollimon	h ɑ l ɪ m ə n
hollin	h ɑ l ɪ n
holling	h ɑ l ɪ ŋ
hollinger	h ɑ l ɪ ŋ ɝ
hollings	h ɑ l ɪ ŋ z
hollingshead	h ɑ l ɪ ŋ z h ɛ d
hollingsworth	h ɑ l ɪ ŋ z w ɝ θ
hollingworth	h ɑ l ɪ ŋ ɡ w ɝ θ
hollins	h ɑ l ɪ n z
hollinshead	h ɑ l ɪ n s h ɛ d
hollinsworth	h ɑ l ɪ n s w ɝ θ
hollis	h ɑ l ɪ s
hollister	h ɑ l ɪ s t ɝ
holliston	h ɑ l ɪ s t ə n
hollman	h ɑ l m ə n
hollmann	h ɑ l m ə n
hollo	h ɑ l oʊ
hollobaugh	h ɑ l ə b ɔ
hollom	h ɔ l ə m
holloman	h ɑ l oʊ m ə n
hollomon	h ɑ l ə m ɑ n
hollon	h ɑ l ə n
hollopeter	h ɑ l ə p i t ɝ
holloran	h ɑ l ɝ ə n
hollow	h ɑ l oʊ
hollow's	h ɑ l oʊ z
holloway	h ɑ l oʊ w eɪ
hollowed	h ɑ l oʊ d
hollowell	h ɑ l ə w ɛ l
hollowing	h ɑ l oʊ ɪ ŋ
hollows	h ɑ l oʊ z
hollstein	h ɑ l s t aɪ n
holly	h ɑ l i
holly's	h ɑ l i z
hollyfield	h ɑ l ɪ f i l d
hollyhead	h ɔ l i h ɛ d
hollyhock	h ɑ l i h ɑ k
hollyhocks	h ɑ l i h ɑ k s
hollywood	h ɑ l i w ʊ d
hollywood's	h ɑ l i w ʊ d z
holm	h oʊ m
holman	h ɑ l m ə n
holmberg	h oʊ l m b ɝ ɡ
holmdale	h oʊ l m d eɪ l
holme	h oʊ l m
holmen	h ɑ l m ɛ n
holmer	h oʊ l m ɝ
holmes	h oʊ m z
holmes's	h oʊ m z ɪ z
holmgren	h oʊ l m ɡ ɹ ɛ n
holmium	h oʊ l m i ə m
holmlund	h oʊ l m l ə n d
holmquest	h oʊ l m k w ɛ s t
holmquist	h oʊ l m k w ɪ s t
holmstrom	h oʊ l m s t ɹ ə m
holness	h ɑ l n ɪ s
holocaust	h ɑ l ə k ɔ s t
holocausts	h ɔ l ə k ɔ s t s
holodeck	h ɑ l ə d ɛ k
hologram	h ɑ l ə ɡ ɹ æ m
holograms	h ɑ l ə ɡ ɹ æ m z
holographic	h ɑ l ə ɡ ɹ æ f ɪ k
holohan	h ɑ l ə h æ n
holquin	h oʊ l k w ɪ n
holroyd	h oʊ l ɹ ɔɪ d
holsapple	h oʊ l s ə p ə l
holscher	h oʊ l ʃ ɝ
holsclaw	h oʊ l s k l ɔ
holsey	h oʊ l s i
holshouser	h oʊ l s h aʊ s ɝ
holsinger	h oʊ l s ɪ ŋ ɝ
holsomback	h oʊ l s ə m b æ k
holsonback	h oʊ l s ə n b æ k
holsopple	h oʊ l s ə p ə l
holst	h oʊ l s t
holstad	h oʊ l s t ə d
holste	h oʊ l s t
holstead	h oʊ l s t ɛ d
holstein	h oʊ l s t i n
holsten	h oʊ l s ə n
holster	h oʊ l s t ɝ
holstine	h oʊ l s t aɪ n
holston	h oʊ l s t ə n
holstrom	h oʊ l s t ɹ ə m
holsworth	h oʊ l s w ɝ θ
holt	h oʊ l t
holt's	h oʊ l t s
holtan	h oʊ l t ə n
holte	h oʊ l t
holten	h oʊ l t ə n
holter	h oʊ l t ɝ
holterman	h oʊ l t ɝ m ə n
holthaus	h oʊ l t h aʊ s
holthus	h oʊ l θ ə s
holtkamp	h oʊ l t k æ m p
holtman	h oʊ l t m ə n
holtmann	h oʊ l t m ə n
holton	h oʊ l t ə n
holtorf	h oʊ l t ɝ f
holtrop	h oʊ l t ɹ ə p
holtry	h oʊ l t ɹ i
holts	h oʊ l t s
holtsclaw	h oʊ l t s k l ɔ
holtz	h oʊ l t s
holtz's	h oʊ l t s ɪ z
holtzapple	h oʊ l t z ə p ə l
holtzclaw	h oʊ l t s k l ɔ
holtzer	h oʊ l t z ɝ
holtzinger	h oʊ l t z ɪ ŋ ɝ
holtzman	h oʊ l t s m ə n
holub	h oʊ l ə b
holum	h oʊ l ə m
holven	h ɔ l v ɛ n
holverson	h ɑ l v ɝ s ə n
holvis	h oʊ l v ə s
holvis'	h oʊ l v ə s
holvis's	h oʊ l v ə s ɪ z
holway	h ɑ l w eɪ
holweger	h oʊ l w ɪ ɡ ɝ
holwerda	h oʊ l w ɝ d ə
holy	h oʊ l i
holycross	h oʊ l i k ɹ ɔ s
holyfield	h oʊ l i f i l d
holyoak	h oʊ l i oʊ k
holyoke	h oʊ l i oʊ k
holz	h oʊ l z
holzapfel	h oʊ l z ə p f ə l
holzer	h oʊ l z ɝ
holzhauer	h oʊ l z h aʊ ɝ
holzhauser	h oʊ l z h aʊ z ɝ
holzheimer	h oʊ l z h aɪ m ɝ
holzinger	h oʊ l z ɪ ŋ ɝ
holzman	h oʊ l z m ə n
holzmann	h oʊ l z m ə n
holzschuh	h oʊ l ʃ u
holzstoff	h oʊ l s t ɔ f
holzwarth	h oʊ l z w ɝ θ
holzworth	h oʊ l z w ɝ θ
hom	h ɑ m
homa	h oʊ m ə
homac	h oʊ m æ k
homage	ɑ m ə dʒ
homages	ɑ m ə dʒ ə z
homan	h oʊ m ə n
homann	h oʊ m ə n
homans	h oʊ m ə n z
homart	h oʊ m ɑ ɹ t
hombre	h ɑ m b ɹ ə
homburg	h ɑ m b ɝ ɡ
home	h oʊ m
home's	h oʊ m z
homebound	h oʊ m b aʊ n d
homeboys	h oʊ m b ɔɪ z
homebuilder	h oʊ m b ɪ l d ɝ
homebuilder's	h oʊ m b ɪ l d ɝ z
homebuilders	h oʊ m b ɪ l d ɝ z
homebuilding	h oʊ m b ɪ l d ɪ ŋ
homebuyer	h oʊ m b aɪ ɝ
homebuyers	h oʊ m b aɪ ɝ z
homecare	h oʊ m k ɛ ɹ
homeclub	h oʊ m k l ʌ b
homecoming	h oʊ m k ʌ m ɪ ŋ
homed	h oʊ m d
homedco	h oʊ m ɛ d k oʊ
homefed	h oʊ m f ɛ d
homefed's	h oʊ m f ɛ d z
homefront	h oʊ m f ɹ ə n t
homegrown	h oʊ m ɡ ɹ oʊ n
homeland	h oʊ m l æ n d
homeland's	h oʊ m l æ n d z
homelands	h oʊ m l æ n d z
homeless	h oʊ m l ə s
homelessness	h oʊ m l ə s n ə s
homelike	h oʊ m l aɪ k
homely	h oʊ m l i
homemade	h oʊ m m eɪ d
homemaker	h oʊ m m eɪ k ɝ
homemakers	h oʊ m m eɪ k ɝ z
homemaking	h oʊ m m eɪ k ɪ ŋ
homen	h oʊ m ə n
homeopathic	h oʊ m i oʊ p æ θ ə k
homeopathy	h oʊ m i oʊ p æ θ i
homeostasis	h oʊ m i oʊ s t eɪ s ə s
homeostatic	h oʊ m i oʊ s t æ t ɪ k
homeowner	h oʊ m oʊ n ɝ
homeowner's	h oʊ m oʊ n ɝ z
homeowners	h oʊ m oʊ n ɝ z
homeowners'	h oʊ m oʊ n ɝ z
homeownership	h oʊ m oʊ n ɝ ʃ ɪ p
homepage	h oʊ m p eɪ dʒ
homeporting	h oʊ m p ɔ ɹ t ɪ ŋ
homer	h oʊ m ɝ
homer's	h oʊ m ɝ z
homeric	h oʊ m ɛ ɹ ɪ k
homers	h oʊ m ɝ z
homerun	h oʊ m ɹ ʌ n
homeruns	h oʊ m ɹ ʌ n z
homes	h oʊ m z
homes'	h oʊ m z
homesick	h oʊ m s ɪ k
homesickness	h oʊ m s ɪ k n ə s
homesley	h oʊ m z l i
homespun	h oʊ m s p ʌ n
homestake	h oʊ m s t eɪ k
homestake's	h oʊ m s t eɪ k s
homestate	h oʊ m s t eɪ t
homestead	h oʊ m s t ɛ d
homestead's	h oʊ m s t ɛ d z
homesteaded	h oʊ m s t ɛ d ɪ d
homesteader	h oʊ m s t ɛ d ɝ
homesteaders	h oʊ m s t ɛ d ɝ z
homesteads	h oʊ m s t ɛ d z
homestretch	h oʊ m s t ɹ ɛ tʃ
hometown	h oʊ m t aʊ n
hometowns	h oʊ m t aʊ n z
homeward	h oʊ m w ɝ d
homewood	h oʊ m w ʊ d
homework	h oʊ m w ɝ k
homeworker	h oʊ m w ɝ k ɝ
homeworkers	h oʊ m w ɝ k ɝ z
homeworld	h oʊ m w ɝ l d
homey	h oʊ m i
homeyer	h oʊ m i ɝ
homicidal	h ɑ m ə s aɪ d ə l
homicide	h ɑ m ə s aɪ d
homicides	h ɑ m ə s aɪ d z
homiletic	h ɑ m ə l ɛ t ɪ k
homilies	h oʊ m ə l i z
homily	h ɑ m ə l i
hominem	h ɑ m ɪ n ɛ m
homing	h oʊ m ɪ ŋ
hominid	h ɑ m ə n ɪ d
hominy	h ɑ m ɪ n i
homme	h ɑ m
hommel	h ɑ m ə l
hommes	h ɑ m z
homo	h oʊ m oʊ
homogeneity	h ɑ m ə dʒ ə n i ə t i
homogeneous	h oʊ m ə dʒ i n i ə s
homogenization	h oʊ m ɑ dʒ ə n ɪ z eɪ ʃ ə n
homogenize	h oʊ m ɑ dʒ ə n aɪ z
homogenized	h oʊ m ɑ dʒ ə n aɪ z d
homogenous	h ə m ɑ dʒ ə n ə s
homogeny	h oʊ m ɑ dʒ ə n i
homola	h ə m ɑ l ə
homolka	h ə m ɑ l k ə
homologous	h ɑ m ɑ l ə ɡ ə s
homonym	h ɔ m ə n ɪ m
homonyms	h ɔ m ə n ɪ m z
homophobia	h oʊ m ə f oʊ b i ə
homophobic	h oʊ m ə f oʊ b ɪ k
homophone	h oʊ m oʊ f oʊ n
homophones	h oʊ m oʊ f oʊ n z
homosapien	h oʊ m oʊ s eɪ p i ə n
homosapiens	h oʊ m oʊ s eɪ p i ə n z
homosexual	h oʊ m oʊ s ɛ k ʃ ʌ w ə l
homosexuality	h oʊ m oʊ s ɛ k ʃ u æ l ə t i
homosexuals	h oʊ m oʊ s ɛ k ʃ u ə l z
homosporous	h oʊ m oʊ s p ɝ ə s
homozygote	h oʊ m oʊ z aɪ ɡ oʊ t
homozygous	h oʊ m oʊ z aɪ ɡ ə s
homrich	h ɑ m ɹ ɪ k
homs	h ɑ m z
homsey	h ɑ m z i
homuth	h ɑ m u θ
hon	h ɑ n
honaker	h ɑ n ə k ɝ
honan	h oʊ n ə n
honasan	h ɑ n ə z ə n
honcho	h ɔ n tʃ oʊ
honda	h ɔ n d ə
honda's	h ɑ n d ə z
hondas	h ɑ n d ə s
honderich	h ɑ n d ɝ ɪ k
hondo	h ɑ n d oʊ
honduran	h ɑ n d ʊ ɹ ə n
hondurans	h ɑ n d ʊ ɹ ə n z
honduras	h ɑ n d ʊ ɹ ə s
hone	h oʊ n
honea	h ɑ n i ə
honeck	h oʊ n ɛ k
honecker	h oʊ n ɛ k ɝ
honecker's	h oʊ n ɛ k ɝ z
honed	h oʊ n d
honer	h oʊ n ɝ
hones	h oʊ n z
honest	ɑ n ə s t
honestly	ɑ n ə s t l i
honestok	h oʊ n ə s t ɔ k
honesty	ɑ n ə s t i
honey	h ʌ n i
honeybee	h ʌ n i b i
honeybees	h ʌ n i b i z
honeycomb	h ʌ n i k oʊ m
honeycutt	h ʌ n i k ə t
honeydew	h ʌ n i d u
honeyman	h ɑ n i m ə n
honeymoon	h ʌ n i m u n
honeymooned	h ʌ n i m u n d
honeymooner	h ʌ n i m u n ɝ
honeymooners	h ʌ n i m u n ɝ z
honeymoons	h ʌ n i m u n z
honeys	h ʌ n i z
honeysuckle	h ʌ n i s ʌ k ə l
honeysuckles	h ʌ n i s ʌ k ə l z
honeywell	h ʌ n i w ɛ l
honeywell's	h ʌ n i w ɛ l z
hong	h ɔ ŋ
hongkong	h ɔ ŋ k ɔ ŋ
hongwei	h ɔ ŋ w eɪ
honig	h ɑ n ɪ ɡ
honing	h oʊ n ɪ ŋ
honk	h ɑ ŋ k
honking	h ɔ ŋ k ɪ ŋ
honks	h ɔ ŋ k s
honky	h ɔ ŋ k i
honn	h ɑ n
honnold	h ɑ n oʊ l d
honold	h ɑ n oʊ l d
honolulu	h ɑ n ə l u l u
honolulu's	h ɑ n ə l u l u z
honor	ɑ n ɝ
honor's	ɑ n ɝ z
honora	ɔ n ɔ ɹ ə
honorable	ɑ n ɝ ə b ə l
honorably	ɑ n ɝ ə b l i
honoraria	ɑ n ɝ ɛ ɹ i ə
honorarium	ɑ n ɝ ɛ ɹ i ə m
honorariums	ɑ n ɝ ɛ ɹ i ə m z
honorary	ɑ n ɝ ɛ ɹ i
honore	ɑ n ɝ
honored	ɑ n ɝ d
honoree	ɑ n ɝ i
honorees	ɑ n ɝ i z
honoria	ɑ n ɝ i ə
honorific	ɑ n ɝ ɪ f ɪ k
honoring	ɑ n ɝ ɪ ŋ
honors	ɑ n ɝ z
honour	ɑ n ɝ
honour's	ɑ n ɝ z
honourable	ɑ n ɝ ə b ə l
honourably	ɑ n ɝ ə b l i
honourary	ɑ n ɝ ɛ ɹ i
honoured	ɑ n ɝ d
hons	h ɑ n z
honsberger	h ɑ n s b ɝ ɡ ɝ
honse	h ɑ n s
honshu	h ɑ n ʃ u
honsinger	h ɑ n s ɪ ŋ ɝ
hontz	h ɑ n t s
hoo	h u
hoobler	h u b l ɝ
hooch	h u tʃ
hoochie	h u tʃ i
hoock	h u k
hood	h ʊ d
hooded	h ʊ d ɪ d
hoodlum	h ʊ d l ə m
hoodlums	h u d l ə m z
hoods	h ʊ d z
hoodwink	h ʊ d w ɪ ŋ k
hoodwinked	h ʊ d w ɪ ŋ k t
hooey	h u i
hoof	h u f
hoofed	h ʊ f t
hoofs	h ʊ f s
hoog	h u ɡ
hooge	h u dʒ
hoogland	h u ɡ l ə n d
hoogovens	h u ɡ ə v ɪ n z
hook	h ʊ k
hook's	h ʊ k s
hooke	h ʊ k
hooked	h ʊ k t
hooker	h ʊ k ɝ
hooker's	h ʊ k ɝ z
hookers	h ʊ k ɝ z
hooking	h ʊ k ɪ ŋ
hooks	h ʊ k s
hookup	h ʊ k ʌ p
hookups	h ʊ k ʌ p s
hookworm	h ʊ k w ɝ m
hookworms	h ʊ k w ɝ m z
hooky	h ʊ k i
hoole	h u l
hooley	h u l i
hooligan	h u l ɪ ɡ ə n
hooliganism	h u l ɪ ɡ ə n ɪ z ə m
hooligans	h u l ɪ ɡ ə n z
hoolihan	h u l ɪ h æ n
hoolihan's	h u l ɪ h æ n z
hoon	h u n
hoonah	h u n ə
hoop	h u p
hooper	h u p ɝ
hooperman	h u p ɝ m ə n
hoopes	h u p s
hoopingarner	h u p ɪ ŋ ɡ ɑ ɹ n ɝ
hoopla	h u p l ɑ
hoopoe	h u p u
hoops	h u p s
hooray	h ʊ ɹ eɪ
hoos	h u z
hoose	h u s
hooser	h u z ɝ
hoosier	h u ʒ ɝ
hoosiers	h u z j ɝ z
hoot	h u t
hooted	h u t ɪ d
hooten	h u t ə n
hooter	h u t ɝ
hooters	h u t ɝ z
hootie	h u t i
hootman	h u t m ə n
hooton	h u t ə n
hoots	h u t s
hooven	h u v ə n
hoover	h u v ɝ
hoover's	h u v ɝ z
hooves	h ʊ v z
hoovler	h u v l ɝ
hop	h ɑ p
hopalong	h ɑ p ə l ɔ ŋ
hopburg	h ɑ p b ɝ ɡ
hopburg's	h ɑ p b ɝ ɡ z
hope	h oʊ p
hope's	h oʊ p s
hoped	h oʊ p t
hopeful	h oʊ p f ə l
hopefully	h oʊ p f ə l i
hopefulness	h oʊ p f ə l n ɪ s
hopefuls	h oʊ p f ə l z
hopeless	h oʊ p l ə s
hopelessly	h oʊ p l ə s l i
hopelessness	h oʊ p l ə s n ə s
hopes	h oʊ p s
hopewell	h oʊ p w ɛ l
hopf	h ɑ p f
hopfensperger	h ɑ p f ɪ n s p ɝ ɡ ɝ
hopfer	h ɑ p f ɝ
hopfinger	h ɑ p f ɪ ŋ ɝ
hopgood	h ɑ p ɡ ʊ d
hopi	h oʊ p i
hoping	h oʊ p ɪ ŋ
hopke	h oʊ p k
hopkin	h ɑ p k ɪ n
hopkin's	h ɑ p k ɪ n z
hopkins	h ɑ p k ɪ n z
hopkins'	h ɑ p k ɪ n z
hopkinson	h ɑ p k ɪ n s ə n
hopkinton	h ɑ p k ɪ n t ə n
hopkyns	h ɑ p k ɪ n z
hopman	h ɑ p m ə n
hopp	h ɑ p
hoppa	h ɑ p ə
hoppe	h ɑ p
hopped	h ɑ p t
hoppel	h ɑ p ə l
hopper	h ɑ p ɝ
hopper's	h ɑ p ɝ z
hoppers	h ɑ p ɝ z
hoppert	h ɑ p ɝ t
hoppes	h ɑ p s
hopping	h ɑ p ɪ ŋ
hopple	h ɑ p ə l
hopps	h ɑ p s
hoppy	h ɔ p i
hops	h ɑ p s
hopscotch	h ɑ p s k ɑ tʃ
hopscotched	h ɑ p s k ɑ tʃ t
hopson	h ɑ p s ə n
