a	e i
Monkton	m o ŋ k t ʌ n
Monmouth	m ʌ n m a u s
mono	m o n o
Monon	m o n o n
Monona	m o n o n a
monorail	m o n o l e i l
Monroe	m ʌ l l o
Monroeville	m ʌ l l o b i l
Monrovia	m o l l o b i a
Monson	m o n s n
monster	m o n s t ʌ
montage	m o ŋ t a dʒ u
Montague	m o n t ʌ g j u
Montana	m o n t ɛ n a
Montara	m o n t a l a
Montauk	m o ŋ t o k
Montclair	m o ŋ k l l e ʌ
Montebello	m o n t e b e l l o
Montello	m o n t e l l o
Monterey	m o n t ʌ l e i
Monterrey	m o n t e l e i
Monterville	m o n t ʌ b i l
Montesano	m o n t e s a n o
Montevallo	m o n t e b a l l o
Montevideo	m o n t e b i d e o
Montezuma	m o n t e dʒ u m a
Montgomery	m o ŋ g o m e l i
Monti	m o n tʃ i
Monticello	m o n tʃ i tʃ e l l o
Montmorenci	m o ŋ m o l e n tʃ i
Montour	m o ŋ t u l
Montpelier	m o n t p i l l i ʌ
Montra	m o n t l a
Montreal	m o n t l i o l
Montreat	m o n t l i t
Montrose	m o n t l o dʒ
Montross	m o n t l o s
Montverde	m o n t b ʌ dʒ i
Montville	m o n t b i l
Monument	m o n u m ʌ n t
mood	m u d
Moodis	m u dʒ i s
moody	m u dʒ i
Moody	m u dʒ i
Mooers	m u ʌ s
Mooloolaba	m u l l u l a b a
moon	m u n
Moon	m u n
Moorcroft	m u ʌ k l o p t
Moore	m u ʌ
Moorefield	m u ʌ p i l d
Mooreland	m u ʌ l ɛ n d
Mooresville	m u ʌ s b i l
Moorhead	m u ʌ h e d
Moorland	m u ʌ l ɛ n d
Moorpark	m u ʌ p a k
Moquah	m o k w a
Mora	m o l a
Moraga	m o l a g a
Moraine	m o l e i n
moral	m o l a l
Moran	m o l a n
Moravia	m o l a b i a
more	m o ʌ
Morehead	m o ʌ h e d
Morehouse	m o ʌ h a u s
Moreland	m o ʌ l l ɛ n d
Morenci	m o l e n tʃ i
Morganfield	m o g ʌ n p i l d
Morganton	m o g ʌ n t ʌ n
Morgantown	m o g ʌ n t a u n
Morganville	m o g ʌ n b i l
Morges	m o dʒ i s
Moriah	m o l i a
Moriarty	m o l i ʌ tʃ i
Morley	m o l l i
Mormon	m o m o n
morning	m o n i ŋ
Morningside	m o n i ŋ s a i d
Moro	m o l o
Morocco	m o l o k o
Morphine	m o l p i n
Morrill	m o l i l
Morrinsville	m o l i n s b i l
Morris	m o l i s
Morrison	m o l i s n
Morristown	m o l i s t a u n
Morrisville	m o l i s b i l
Morrow	m o l o
Morse	m o s
mortgage	m o g i dʒ i
Mortimer	m o tʃ i m ʌ
Morton	m o t ʌ n
Morven	m o b n
Morvin	m o l b i n
mosaic	m o dʒ a i k
Mosaik	m o dʒ a i k
Mosby	m o s b i
Mosca	m o s k a
Moscow	m o s k b a
Mosel	m o dʒ e l
Moseley	m o dʒ l l i
Moselle	m o s e l
Mosgiel	m o s g i l
Mosinee	m o s a i n i
Moslem	m o s l l e m
mosque	m o s k
Moss	m o s p o i n t
Mosses	m o s e s
Mossville	m o s b i l
Mossy	m o s i
most	m o s t
motel	m o t e l
motion	m o s j ʌ n
motive	m o tʃ i b
Motley	m o t l l i
motor	m o t ʌ
Motor	m o t ʌ
Mott	m o t
motto	m o t o
Motueka	m o t u e k a
Moulton	m o l t ʌ n
Moultrie	m o l t l i
mound	m a u n d
Mounds	m a u n dʒ
Moundville	m a u n d b i l
mount	m a u n t
Mountain	m a u n tʃ i n
Mountainair	m a u n tʃ i n e ʌ
Mountainburg	m a u n tʃ i n b ʌ g
Mounts	m a u n tʃ
Mountville	m a u n t b i l
Moura	m o u l a
mouse	m a u s
movie	m u b i
Moxee	n o k s i
Moyers	m o i ʌ s
Moyock	m o j o k
Mozambique	m o dʒ a m b i k
Mozart	m o tʃ a l t
MP	e m p i
mPOP	e m p a p
mud	m ʌ d
Muenster	m w i n s t ʌ
muezzin	m u e dʒ i n
muffin	m ʌ p i n
muffle	m ʌ p l
muffler	m ʌ p l l ʌ
Mukilteo	m ʌ k ʌ l tʃ i o
Mukwonago	m ʌ k w ʌ n a g o
Mulberry	m ʌ l b e l i
Muldoon	m ʌ l d u n
Muldraugh	m ʌ l d l o
Muldrow	m ʌ l d l o
Mullan	m ʌ l l a n
Mullen	m ʌ l l n
Mullensville	m j u l l ʌ n s b i l
Mullin	m ʌ l l i n
Mullins	m ʌ l l i n s
Multan	m u l t a n
multi	m ʌ l tʃ i
multibox	m ʌ l tʃ i b a k s
multicast	m ʌ l tʃ i k ɛ s t
multichannel	m ʌ l tʃ i tʃ ɛ n ʌ l
multicodec	m ʌ l tʃ i k o d e k
multimedia	m ʌ l tʃ i m i dʒ i ʌ
multiplexer	m ʌ l tʃ i p l l e k s ʌ
multiprocessing	m ʌ l tʃ i p l o s e s i ŋ
multiprogramming	m ʌ l tʃ i p l o g l ɛ m i ŋ
multitasking	m ʌ l tʃ i t ɛ s k i ŋ
multiwindow	m ʌ l tʃ i w i n d o
multizen	m ʌ l tʃ i dʒ n
Mulvane	m ʌ l b e i n
Mumbai	m u m b a i
Mumford	m ʌ m p ʌ d
Muncie	m ʌ n s i
Munday	m ʌ n d e i
Munden	m ʌ n d n
Munger	m ʌ ŋ g ʌ
Munich	m j u n i k
Munising	m ʌ n i s i ŋ
Munson	m ʌ n s n
Munster	m ʌ n s t ʌ
Murchison	m ʌ tʃ i s n
Murdo	m ʌ d o
Murdoch	m ʌ d o k
Murdock	m ʌ d o k
Murfreesboro	m u p l i s b ʌ l ʌ
Murmansk	m u l m a n s k
Murphy	m ʌ p i
Murphysboro	m ʌ p i s b ʌ l o
Murray	m ʌ l i
Murraysville	m ʌ l i s b i l
Murrieta	m j u l i e t a
Murry	m ʌ l i
Murtaugh	m ʌ t o p
Murwillumbah	m ʌ w i l l u m b a
Mus	m u s
Muscat	m u s k a t
Muscatine	m ʌ s k a tʃ i n
Muscoda	m u s k o d a
Muscotah	m ʌ s k o t a
Muse	m j u dʒ
Musella	m u dʒ e l l a
museum	m j u dʒ i ʌ m
music	m j u dʒ i k
musical	m j u dʒ i k ʌ l
Muskego	m ʌ s k i g o
Muskegon	m ʌ s k i g ʌ n
musket	m ʌ s k e t
Muskogee	m ʌ s k o dʒ i
must	m ʌ s t
Mustang	m ʌ s t ɛ ŋ
mustard	m ʌ s t ʌ d
Muswellbrook	m ʌ s w e l b l u k
Mutual	m j u tʃ u ʌ l
MVP	e m b i p i
my	m a i
Myanmar	m i j a n m a
Myers	m a i ʌ s
Mykonos	m i k o n o s
Mylo	m a i l l o
mymetro	m a i m e t l o
Myrtle	m ʌ t l
Myrtlewood	m ʌ t l u d
Mystic	m i s tʃ i k
Myton	m a i t ʌ n
n	e n
Nabb	n ɛ p
Naches	n a tʃ i s
Nacogdoches	n a k o g d o tʃ i s
Nada	n a d a
Nadeau	n e i d o
Nadi	n a dʒ i
Nagasaki	n a g a s a k i
Nagoya	n a g o j a
Nahant	n a h a n t
Nahcotta	n a k o t a
nail	n e i l
Nain	n a i n
Nairobi	n a i l o b i
Naismith	n e i s m i s
NAJAF	n a dʒ a p
Nakashibetsu	n a k a s i b e s
Nakhichevan	n a h i tʃ e b a n
Naknek	n a k n e k
Nallen	n o l l n
Namakagon	n a m ʌ k a g ʌ n
Nameless	n e i m n i s
namespace	n e i m s p e i s
Namibia	n a m i b i a
Nampa	n e m p a
Namur	n a m u l
Namuwiki	n a m u w i k i
Nanaimo	n a n a i m o
Nancy	n ɛ n s i
Nanjing	n a n dʒ i ŋ
nano	n a n o
Nanticoke	n ɛ n tʃ i k o k
Nantucket	n ɛ n t ʌ k i t
Naoma	n a o m a
Naomi	n a o m i
Napa	n ɛ p ʌ
Napavine	n ɛ p a b a i n
Naperville	n e i p ʌ b i l
Naphthalin	n a p t a l l i n
Napier	n e i p i ʌ
Napili	n a p i l l i
napkin	n ɛ p k i n
Naples	n a p o l l i
Napoleon	n a p o l l e o ŋ
Napoleonville	n a p o l l i o n b i l
Napoli	n a p o l l i
Nappanee	n ɛ p a n i
Napster	n ɛ p s t ʌ
narcissism	n a l s i s i dʒ m
Narka	n a l k a
Narragansett	n ɛ l ʌ g ɛ n s ʌ t
Narrandera	n a l a n d e l a
narration	n ɛ l e i s j ʌ n
Narrows	n ɛ l o u s
nas	n a s
NASA	n a s a
Nash	n ɛ s w i
Nashport	n ɛ s w i p o t
Nashua	n ɛ s j u a
Nashville	n ɛ s j u b i l
Nason	n e i s n
Nassau	n a s o
Nassauville	n a s o b i l
Natalia	n a t a l l i a
Natchez	n a tʃ e dʒ
Natchitoches	n ɛ k ʌ t ʌ s i
nate	n e i t
NateOn	n e i t o n
Nathalie	n a t a l l i
Nathan	n e i s n
Natick	n e i tʃ i k
nation	n e i s j ʌ n
national	n ɛ s j ʌ n ʌ l
nationalism	n ɛ s j ʌ n ʌ l l i dʒ m
NATO	n a t o
Natoma	n a t o m a
natural	n ɛ tʃ u l ʌ l
nature	n e i tʃ ʌ
Naugatuck	n o g a t ʌ k
Nauvoo	n o b u
Navarino	n a b a l i n o
Navarre	n a b a l
Navarro	n a b a l o
Navasota	n e b a s o t a
Navassa	n a b a s a
Nave	n e i b
naver	n e i b ʌ
navigation	n ɛ b i g e i s j ʌ n
Naylor	n e i l l ʌ
NAYPYITAW	n e p i d o
Nazareth	n a s a l e t
Nazis	n a tʃ i s
Nazism	n a tʃ i dʒ m
Neal	n i l
neanderthal	n e a n d e l t a l
Nebo	n e b o
Nebraska	n e b l ɛ s k a
Neche	n i s i
neck	n e k
necktie	n e k t a i
Nectar	n e k t a
Nederland	n e d ʌ l l a n d
Needham	n i d ʌ m
Needles	n i d l s
Needmore	n i d m o ʌ
Needy	n i dʒ i
Neenah	n i n a
negative	n e g ʌ tʃ i b
Negaunee	n i g o n i
Negreet	n i g l i t
negware	n e g w e ʌ
Nehalem	n e h e i l l ʌ m
Neihart	n i h a t
Nekoma	n e k o m a
Neligh	n e l l i
Nellis	n e l l i s
Nelson	n e l s n
Nelsonville	n e l s n b i l
Nelspruit	n e l s p u l u t
Nemaha	n e m a h a
Nemo	n i m o
Nenana	n e n a n a
Neoga	n e o g a
neon	n e o n
Neosho	n e o s j o
Nepal	n e p a l
Nephi	n i p a i
Nepton	n e p t ʌ n
Nero	n e l o
Nerstrand	n ʌ s t l ɛ n d
Neshkoro	n e s i k o l o
Neshoba	n e s j o b a
nest	n e s t
net	n e t
NetBench	n e t p e n tʃ i
Netbook	n e t p u k
Netflix	n e t p l l i k s
Netherland	n e d ʌ l l a n d
Netherlands	n e d e l l a n t
Nethkin	n e s k i n
netian	n e t i a ŋ
netiquette	n e tʃ i k e t
netizen	n e tʃ i dʒ n
netmarble	n e n m a b l
NetPC	n e t p i s i
netpy	n e t p a i
netrepreneur	n e t l ʌ p l ʌ n ʌ
netsgo	n e t tʃ g o
Nettie	n e tʃ i
Nettleton	n e t l t ʌ n
NetView	n e t p j u
NetWare	n e t w e ʌ
network	n e t w ʌ k
neural	n j u l ʌ l
Neurose	n o i l o dʒ e
Neuse	n j u s
Neva	n e b a
Nevada	n e b a d a
never	n e b ʌ
Neversink	n e b ʌ s i ŋ k
Neverstill	n e b ʌ s tʃ i l
Nevins	n e b i n s
Nevis	n e b i s
Nevsehir	n e b s w e h i l
new	n j u
New	n j u
Newalla	n j u w a l l a
Newark	n j u ʌ k
Newaygo	n j u w e i g o
Newberg	n j u b ʌ g
Newberry	n j u b e l i
newbie	n j u b i
Newbold	n j u b o l d
Newborn	n j u b o n
Newburg	n j u b ʌ g
Newburgh	n j u b ʌ g
Newbury	n j u b e l i
Newburyport	n j u b ʌ l i p o t
Newby	n j u b i
Newcastle	n j u k ɛ s l
Newcomb	n j u k o m
Newdale	n j u d e i l
Newell	n j u w e l
Newfane	n j u p e i n
Newfield	n j u p i l d
Newfields	n j u p i l dʒ
Newfolden	n j u p o l d n
Newfoundland	n j u p a u n d l ɛ n d
Newhalen	n j u h a l l e n
Newhall	n j u h o l
Newhope	n j u h o p
Newington	n j u i ŋ t ʌ n
Newkirk	n j u k ʌ k
Newland	n j u l ɛ n d
Newman	n j u m ʌ n
Newmarket	n j u m a k e t
Newnan	n j u n ʌ n
Newnata	n j u n e i t
Newpoint	n j u p o i n t
Newport	n j u p o t
Newry	n j u l i
news	n j u s
Newsletter	n j u s l e t ʌ
Newton	n j u t ʌ n
Newtown	n j u t a u n
Newville	n j u b i l
nexon	n e k s n
Nexus	n e k s ʌ s
Nezperce	n e dʒ p ʌ s
NG	e n dʒ i
NGO	e n dʒ i o
Ngongotaha	n o ŋ g o t a h a
Niagara	n a i a g a l a
Niamey	n i a m e i
Nibley	n i b l l i
Nicaragua	n i k a l a g w a
Nicasio	n i k a s i o
nice	n a i s
Niceville	n a i s b i l
Nicholasville	n i k o l l a s b i l
Nicholls	n i k o l s
Nichols	n i k o l s
Nicholson	n i k ʌ l s n
Nicholsville	n i k o l s b i l
nickel	n i k e l
nickname	n i ŋ n e i m
Nicksville	n i k s b i l
Nicodemus	n i g o d e m o
Nicolaus	n i k o l l a u s
Nicollet	n i k o l l e t
Nielsville	n i l s b i l
Niger	n i dʒ e l
Nigeria	n a i dʒ i l i a
night	n a i t
nightclub	n a i t k l l ʌ p
Nighthawk	n a i t h o k
Nightmute	n a i t m j u t
Niigata	n i i g a t a
Nikolai	n i k o l l a i
Niles	n a i l s
NIMBY	n i m b i
Nimitz	n i m i tʃ
Nimrod	n i m n o d
nine	n a i n
Niota	n i o t a
Nipetown	n a i p t a u n
Nippa	n i p a
nipper	n i p ʌ
Nipton	n i p t n
Nisswa	n i s w a
Nitro	n a i t l o
Nixa	n i k s a
no	n o
Noah	n o a
nobelium	n o b e l l j u m
noble	n o b l
Noble	n o b l
Noblesville	n o b l s b i l
Nocatee	n o k a tʃ i
nocturne	n o k t ʌ n
Node	n o d
Noel	n o e l
Nogales	n o g e i l s
Nogo	n o g o
noise	n o i dʒ
Nokia	n o k i a
Nokomis	n o k o m i s
Nolan	n o l l ʌ n
Noma	n o m a
Nome	n o m
Nonesuch	n ʌ n s ʌ tʃ i
nonfiction	n o n p i k s j ʌ n
Nonpareil	n ʌ n p a l e i l
nonsense	n a n s e n s
nonstop	n o n s t o p
noon	n u n
Noon	n u n
Noonan	n u n ʌ n
Noonday	n u n d e i
Noorvik	n u ʌ b i k
Noosa	n u s a
Nora	n o l a
Norco	n o l k o
Norcross	n o k l o s
Norden	n o d n
Norfolk	n o p ʌ k
Norfork	n o p o k
Norge	n o l dʒ e
Norlina	n o l l i n a
normal	n o m ʌ l
Normal	n o m ʌ l
Norman	n o m ʌ n
Normandy	n o l m a ŋ dʒ i
Norridgewock	n o l i dʒ i w ʌ k
Norris	n o l i s
Norristown	n o l i s t a u n
Norrisville	n o l i s b i l
Norseland	n o s l ɛ n d
North	n o s
Northam	n o s ɛ m
Northampton	n o s ɛ m p t ʌ n
Northboro	n o s b ʌ l o
Northborough	n o s b ʌ l ʌ
Northbridge	n o s b l i dʒ i
Northcliff	n o s k l l i p
Northfield	n o s p i l d
Northfork	n o s p o k
Northgate	n o s g e i t
Northglenn	n o s g l l e n
Northlake	n o s l e i k
Northland	n o s l ɛ n d
Northmoor	n o s m u ʌ
Northport	n o s p o t
Northrop	n o s l o p
Northumberland	n o s ʌ m b ʌ l ɛ n d
Northview	n o s b j u
Northville	n o s b i l
Northwest	n o s w e s t
Northwood	n o s u d
Northwoods	n o s u dʒ
Norton	n o t ʌ n
Norwalk	n o w ʌ k
Norway	n o l w e i
Norwell	n o w e l
Norwich	n o w i tʃ i
Norwood	n o u d
note	n o t
notebook	n o t b u k
Noti	n o tʃ i
notouch	n o d a dʒ i
Notrees	t o t l i s
Nottingham	n o tʃ i ŋ h ɛ m
Nottinghill	n o tʃ i ŋ h i l
Notus	n o t ʌ s
Noumea	n u m e a
Nova	n o b a
Novato	n o b a t o
Novi	n o b i
novice	n o b i s
Novice	n o b i s
Novosibirsk	n o b o s i b i l s k
now	n a u
nownuri	n a u n u l i
Nowthen	n a u d e n
Noyes	n o j e s
Noyo	n o j o
nozzle	n o dʒ l
nuance	n w i a ŋ s
Nubieber	n u b i b ʌ
Nucla	n u k l l a
nude	n u d
NUKUS	n u k u s
Nulato	n u l l a t o
Numa	n u m a
number	n ʌ m b ʌ
Nunavut	n u n a b u t
Nunez	n u n j e s
Nunn	n ʌ n
Nuremberg	n j u l e n b ʌ g
nurse	n ʌ s
Nursery	n ʌ s ʌ l i
nut	n ʌ t
Nutbush	n ʌ t b u s i
Nutley	n ʌ t l l i
Nyack	n a i ɛ k
Nye	n a i
nylon	n a i l l o n
o	o
O'Brien	o b l a i ʌ n
O'Brion	o b l a i ʌ n
O'Donnell	o d o n e l
O'Fallon	o p ɛ l l ʌ n
O'Kean	o k i n
O'Neals	o n i l dʒ
O'Neil	o n i l
O'Neill	o n i l
O'Reilly	o l a i l l i
Oak	o k
Oakalla	o k a l l a
Oakdale	o k d e i l
OakDale	o k d e i l
Oakes	o k s
Oakfield	o k p i l d
Oakham	o k h ɛ m
Oakhurst	o k h ʌ s t
Oakland	o k l l ɛ n d
Oakleaf	o k l i p
Oakley	o k l l i
Oakman	o k m a n
Oakmont	o k m o n t
Oaks	o k s
Oaktown	o k t a u n
Oakvale	o k b e i l
Oakville	o k b i l
Oakwood	o k u d
Oamaru	o a m a l u
OAPEC	o a p e k
oasis	o a s i s
Oasis	o a s i s
Oatlands	o t l l ɛ n dʒ
Oatman	o t m ɛ n
Oberlin	o b ʌ l l i n
Obihiro	o b i h i l o
Ocala	o k a l l a
Occidental	o k s i d e n t a l
Occoquan	o k o k w a n
Oceana	o s e a n a
Oceanside	o s j ʌ n s a i d
Ochlockonee	o k l a k k o n i
Ochopee	o tʃ o p i
Ocie	o s i
Ocoee	o k o i
Oconee	o k o n i
Oconomowoc	o k a n ʌ m o w a k
Octagon	o k t a g o n
Odd	o d
odds	o dʒ
Odds	o dʒ
Odell	o d e l
Oden	o d n
Odessa	o d e t s a
Odgen	o dʒ e n
Odin	o dʒ i n
Odon	o d n
Odum	o d ʌ m
OECD	o i s i dʒ i
Offerle	o p ʌ l l
Offerman	o p ʌ m ɛ n
office	o p i s
officecomputer	o p i s k ʌ m p j u t ʌ
Offutt	o p ʌ t
Ogallala	o g a l l a l a
Ogden	o g d ʌ n
Ogdensburg	o g d e n s b ʌ g
Ogema	o dʒ i m a
Ogilvie	o g i l b i
Oglesby	o g l s b i
Oglethorpe	o g l s o p
Ogunquit	o g ʌ n k i t
oh	o
Ohatchee	o h a t k i
Ohio	o h a i o
oil	o i l
Oita	o i t a
Ojai	o h a i
Ojibwa	o dʒ i b w a
ok	o k e i
Okaihau	o k a i h a u
Okanogan	o k ʌ n a g ʌ n
Okay	o k e i
Okayama	o k a j a m a
Okeana	o k i n a
Okee	o k i
Okeechobee	o k i tʃ o b i
Okeene	o k i n
Okemah	o k i m a
Okinawa	o k i n a w a
Oklahoma	o k l l a h o m a
Oklee	o k l l i
Okmulgee	o ŋ m ʌ l dʒ i
Okoboji	o k o b o dʒ i
Okolona	o k o l l a n a
Oktoc	o k t o k
Ola	o l l a
Olalla	o l l a l l a
Olar	o l l a
Olathe	o l l e i s
Olbia	o l b i a
Olden	o l d n
Oldenburg	o l d e n b ʌ g
Oldfield	o l d p i l d
Oldham	o l d h ɛ m
Olds	o l dʒ
Oldsmar	o l dʒ m a
Oldtown	o l d t a u n
Oldwick	o l d w i k
Olean	o l l i n
Olema	o l l e m a
Olena	o l l e n a
Olene	o l l e n
Olex	o l l e k s
Olga	o l g a
oligomer	o l l i g o m ʌ
Olin	o l l i n
olive	o l l i b
Olive	o l l i b
Olivehill	o l l i b h i l
Oliver	o l l i b ʌ
Olivesburg	o l l i b s b ʌ g
Olivet	o l l i b e t
Olivette	o l l i b e t
Olivia	o l l i b i a
Olla	o l l a
Ollie	o l l i
Olmstead	o l l m s t e d
Olney	o l l i
Oloh	o l l o
Olpe	o l p
Olvey	o l b i
Olympia	o l l i m p i a
olympiad	o l l i m p i a d
olympic	o l l i m p i k
Olympic	o l l i m p i k
Omaha	o m a h a
Omak	o m a k
Oman	o m a n
Omar	o m a
Omarama	o m a l a m a
Omega	o m e g a
Omena	o m e n a
Omer	o m ʌ
Omps	o m s
on	o n
Ona	o n a
Onaga	o n a g a
Onalaska	o n a l ɛ s k a
Onawa	o n a w a
Onaway	o n ʌ w e i
one	w ʌ n
Oneco	o n e k o
Onego	o n i g o
Oneida	o n a i d a
Onekaka	o n e k a t a
Oneonta	o n i o n t a
Onley	o l l i
only	o l l i
Onoffmix	o n o p m i k s
Onondaga	o n o n d a g a
ons	o n s
Onslow	o n s l l o
Ontario	o n t a l i o
Onward	o n w ʌ d
Onycha	o n i tʃ a
Oolitic	u l l i tʃ i k
opal	o p a l
Opal	o p a l
Opelika	o p e l l i k a
Opelousas	o p e l l u s a s
open	o p n
opener	o p n ʌ
opening	o p i n i ŋ
opera	o p e l a
Opera	o p e l a
operator	o p ʌ l e i t ʌ
operetta	o p e l e t a
Ophir	o p i ʌ
Opine	o p a i n
Opotiki	o p o tʃ i k i
Opp	o p
Oppenheim	o p n h a i m
Optima	o p tʃ i m a
option	o p s j ʌ n
Opunake	o p u n a k e
Ora	o l a
oracle	o l a k l
Oran	o l a n
Oranda	o l a n d a
orange	o l e n dʒ i
Orange	o l e n dʒ i
Orangeburg	o l e n dʒ i b ʌ g
Orangeville	o l e n dʒ i b i l
Orchard	o tʃ a d
Orchardville	o tʃ a d b i l
orchestra	o k e s t l a
Orchid	o k i d
Ord	o d
order	o d ʌ
Ordway	o d w e i
Orefield	o l i p i l d
Oregon	o l i g ʌ n
Oregonia	o l e g o n i a
Orem	o l e m
Orenburg	o l e n b u l k
Orestes	o l e s tʃ i dʒ
Oretown	o l i t a u n
Orewa	o l e w a
Orford	o p o d
Org	o g
organ	o l g a n
Orgas	o l g a s
Orient	o l i e n t
Orienta	o l i e n t a
Oriental	o l i e n t a l
orientalism	o l l i e n t a l l i dʒ m
orientation	o l i e n t e i s j ʌ n
original	o l i dʒ i n a l
originality	o l i dʒ i n ʌ l l i tʃ i
Orinda	o l i n d a
Oriole	o l i o l
Orion	o l i o n
Oriska	o l i s k a
Orland	o l l ɛ n d
Orlando	o l l ɛ n d o
Orleans	o l l i ʌ n s
Orma	o m a
Orme	o l m e
Ormonde	o m o n d
Orofino	o l o p i n o
Orono	o l o n o
Oroville	o l o b i l
Orr	o l
Orrick	o l i k
Orrington	o l i ŋ t ʌ n
Orrville	o l b i l
Orting	o tʃ i ŋ
Ortiz	o l i tʃ
Ortona	o t o n a
Ortonville	o t ʌ n b i l
Orum	o l ʌ m
Orwell	o w e l
Osage	o s e i dʒ i
Osaka	o s a k a
Osborn	o s b o n
Osborne	o s b o n
Osburn	o s b ʌ n
Oscar	o s k a
Osceola	o s e o l l a
Osgood	o s g u t
Oshawa	o s j a w a
Oshkosh	o s j u k o s i
Osier	o s i e
Oskaloosa	o s k ʌ l l u s a
Oslo	o s l l o
osmium	o s m j u m
Osmond	o s m ʌ n d
Osnabrock	o s n a b l o k
Oso	o s o
osram	o s l a m
Osseo	o s e o
Ossian	o s i a n
Ossining	o s i n i ŋ
Osteen	o s tʃ i n
Ostrava	o s t l a b a
Ostrom	o s t l o m
Oswego	o s w i g o
Osyka	o s i k a
Otago	o t a g o
Otego	o tʃ i g o
Otey	o tʃ i
Othello	o s e l l o
other	a d ʌ
Otira	o tʃ i l a
Otis	o tʃ i s
Oto	o t o
Otsego	o t s e g o
Ottawa	o t a w a
Otter	o t ʌ
Otterbein	o t ʌ b a i n
Ottertail	o t ʌ t e i l
Otterville	o t ʌ b i l
Ottosen	o t o dʒ e n
Ottumwa	o t u m w a
Otwell	o t w e l
Oulu	o u l l u
Ouray	ʌ l e i
out	a u t
Outing	a u tʃ i ŋ
Outingdale	a u tʃ i ŋ d e i l
outline	a u t l a i n
outlook	a u n n u k
Outlook	a u n n u k
outside	a u t s a i d
outsider	a u t s a i d ʌ
oven	o b n
over	o b ʌ
Overall	o b ʌ o l
Overbrook	o b ʌ b l u k
overhaul	o b ʌ h o l
overhead	o b ʌ h e d
Overhills	o b ʌ h i l s
Overland	o b ʌ l ɛ n d
Overly	o b ʌ l l i
Overstreet	o b ʌ s t l i t
overture	o b ʌ tʃ u ʌ
Ovid	o b i d
Oviedo	o b i e d o
Owaka	o w a k a
Owasa	o w a s a
Owasso	o w a s o
Owatonna	o w a t o n a
Owego	o w i g o
Owen	o w e n
Owens	o w e n s
Owensboro	o ʌ n dʒ b ʌ l ʌ
owner	o n ʌ
Owosso	o b o s o
Oxbow	o k s b o u
Oxford	o k s p o d
Oxlip	o k s l l i p
Oxnard	o k s n a d
Oxville	o k s b i l
Oyster	o i s t ʌ
Ozan	o dʒ a n
Ozark	o dʒ a k
Ozawkie	o dʒ a k i
Ozette	o dʒ e t
ozone	o dʒ o n
p	p i
Pabst	p a p s t
Pacific	p ʌ s i p i k
Pacifica	p ʌ s i p i k a
packet	p ɛ k i t
Paden	p e i d n
Paderborn	p a d ʌ b o l n
Padua	p a d u a
Paducah	p ʌ d u k ʌ
Padus	p ɛ d ʌ s
Paeroa	p a e l o a
page	p e i dʒ i
Page	p e i dʒ i
paging	p e i dʒ i ŋ
pagoda	p a g o d a
Pahiatua	p a h i a t u a
Pahokee	p ʌ h o k i
Paicines	p a i s i n i s
Paige	p e i dʒ i
Paihia	p a i h i a
Painesville	p e i n dʒ b i l
paint	p e i n t
Paisley	p e i s l l i
pajama	p a dʒ a m a
Pakistan	p a k i s t a n
Palacios	p a l l a s i o s
Palatine	p ɛ l l ʌ t a i n
Palatka	p ʌ l l ɛ t k a
Palau	p a l l a u
Palco	p a l k o
Palembang	p a l l e m b a ŋ
Palermo	p a l l e l m o
Palestine	p a l l e s t a i n
Palisade	p ɛ l l i s e i d
Palisades	p ɛ l l i s e i dʒ
palladium	p a l l a dʒ j u m
Palma	p a l m a
Palmdale	p a m d e i l
Palmer	p a m ʌ
Palmers	p a l m ʌ s
Palmerston	p a m ʌ s t ʌ n
Palmetto	p a l m e t o
Palmyra	p a l m i l a
Palo	p a l l o
Paloma	p a l l o m a
Palouse	p ɛ l l u dʒ
Pamelia	p a m e l l i a
Pampa	p a m p a
pamphlet	p ɛ m p l l i t
Pana	p ɛ n a
Panaca	p a n a k a
Panacea	p a n a k e i a
Panama	p a n a m a
panasonic	p a n a s o n i k
pancake	p ɛ n k e i k
Pancake	p ɛ n k e i k
Panguitch	p ɛ g i tʃ i
Panhandle	p ɛ n h ɛ n d l
Pannell	p ɛ n ʌ l
Panora	p a n o l a
panorama	p a n o l a m a
Pantelleria	p a n t e l l e l i a
Panther	p ɛ n d ʌ
panties	p ɛ n tʃ i
Panton	p ɛ n t ʌ n
Paola	p e i o l l a
Paoli	p a o l l i
Paonia	p a o n i a
Papillion	p a p i l l i ʌ n
papyrus	p a p i l u s
Parachute	p ɛ l ʌ s j u t
paradise	p a l a d a i s
Paradise	p a l a d a i s
Paradox	p ɛ l ʌ d o k s
paraffin	p a l a p i n
Paragon	p ɛ l ʌ g o n
Paragould	p ɛ l ʌ g u l d
Paraguay	p a l a g w a i
parameter	p a l a m i t ʌ
Paramount	p ɛ l ʌ m a u n t
Paran	p a l a n
Parchment	p a tʃ i m ʌ n t
Parham	p a h ɛ m
Paris	p a l i
Parish	p ɛ l i s w i
Parkdale	p a k d e i l
Parker	p a k ʌ
Parkersburg	p a k ʌ dʒ b ʌ g
Parkfield	p a k p i l d
Parkin	p a k i n
Parkland	p a k l ɛ n d
Parkline	p a k l l i n
Parkman	p a k m ʌ n
Parks	p a k s
Parkville	p a k b i l
Parlier	p ɛ l i ʌ
Parlin	p a l l i n
Parma	p a m a
Parmele	p a m i l
